Tarih,TP DK USD A YTL,
01-02-2023,18.79,
02-02-2023,18.79,
03-02-2023,18.79,
06-02-2023,18.79,
07-02-2023,18.81,
08-02-2023,18.81,
09-02-2023,18.81,
10-02-2023,18.81,
13-02-2023,18.81,
14-02-2023,18.82,
15-02-2023,18.82,
16-02-2023,18.83,
17-02-2023,18.83,
20-02-2023,18.84,
21-02-2023,18.84,
22-02-2023,18.85,
23-02-2023,18.85,
24-02-2023,18.85,
27-02-2023,18.86,
28-02-2023,18.86,
01-03-2023,18.86,
02-03-2023,18.87,
03-03-2023,18.87,
06-03-2023,18.86,
07-03-2023,18.88,
08-03-2023,18.89,
09-03-2023,18.91,
10-03-2023,18.93,
13-03-2023,18.94,
14-03-2023,18.95,
15-03-2023,18.95,
16-03-2023,18.96,
17-03-2023,18.98,
20-03-2023,18.98,
21-03-2023,18.99,
22-03-2023,19.00,
23-03-2023,19.02,
24-03-2023,19.02,
27-03-2023,19.04,
28-03-2023,19.07,
29-03-2023,19.08,
30-03-2023,19.11,
31-03-2023,19.15,
03-04-2023,19.15,
04-04-2023,19.18,
05-04-2023,19.20,
06-04-2023,19.23,
07-04-2023,19.24,
10-04-2023,19.23,
11-04-2023,19.24,
12-04-2023,19.26,
13-04-2023,19.29,
14-04-2023,19.31,
17-04-2023,19.34,
18-04-2023,19.35,
19-04-2023,19.38,
20-04-2023,19.38,
21-04-2023,,
24-04-2023,19.38,
25-04-2023,19.39,
26-04-2023,19.39,
27-04-2023,19.40,
28-04-2023,19.41,
01-05-2023,,
02-05-2023,19.43,
03-05-2023,19.44,
04-05-2023,19.45,
05-05-2023,19.46,
08-05-2023,19.47,
09-05-2023,19.48,
10-05-2023,19.49,
11-05-2023,19.51,
12-05-2023,19.54,
15-05-2023,19.56,
16-05-2023,19.64,
17-05-2023,19.68,
18-05-2023,19.73,
19-05-2023,,
22-05-2023,19.76,
23-05-2023,19.80,
24-05-2023,19.83,
25-05-2023,19.86,
26-05-2023,19.90,
29-05-2023,19.95,
30-05-2023,20.05,
31-05-2023,20.31,
01-06-2023,20.66,
02-06-2023,20.75,
05-06-2023,20.84,
06-06-2023,21.15,
07-06-2023,21.46,
08-06-2023,23.02,
09-06-2023,23.32,
12-06-2023,23.43,
13-06-2023,23.61,
14-06-2023,23.64,
15-06-2023,23.60,
16-06-2023,23.64,
19-06-2023,23.64,
20-06-2023,23.64,
21-06-2023,23.58,
22-06-2023,23.55,
23-06-2023,23.62,
26-06-2023,25.25,
27-06-2023,25.82,
28-06-2023,,
29-06-2023,,
30-06-2023,,
03-07-2023,25.82,
04-07-2023,26.03,
05-07-2023,26.00,
06-07-2023,26.05,
07-07-2023,26.05,
10-07-2023,26.04,
11-07-2023,26.06,
12-07-2023,26.07,
13-07-2023,26.11,
14-07-2023,26.12,
17-07-2023,26.14,
18-07-2023,26.24,
19-07-2023,26.82,
20-07-2023,26.90,
21-07-2023,26.89,
24-07-2023,26.89,
25-07-2023,26.92,
26-07-2023,26.93,
27-07-2023,26.93,
28-07-2023,26.93,
31-07-2023,26.94,
01-08-2023,26.93,
02-08-2023,26.93,
03-08-2023,26.94,
04-08-2023,26.95,
07-08-2023,26.95,
08-08-2023,26.97,
09-08-2023,26.98,
10-08-2023,26.99,
11-08-2023,27.00,
14-08-2023,27.01,
15-08-2023,27.02,
16-08-2023,27.02,
17-08-2023,27.03,
18-08-2023,27.07,
21-08-2023,27.06,
22-08-2023,27.13,
23-08-2023,27.17,
24-08-2023,27.17,
25-08-2023,27.09,
28-08-2023,26.41,
29-08-2023,26.53,
30-08-2023,,
31-08-2023,26.58,
01-09-2023,26.67,
04-09-2023,26.68,
05-09-2023,26.74,
06-09-2023,26.76,
07-09-2023,26.77,
08-09-2023,26.80,
11-09-2023,26.81,
12-09-2023,26.84,
13-09-2023,26.86,
14-09-2023,26.90,
15-09-2023,26.91,
18-09-2023,26.93,
19-09-2023,26.98,
20-09-2023,26.99,
21-09-2023,26.99,
22-09-2023,27.00,
25-09-2023,27.10,
26-09-2023,27.18,
27-09-2023,27.21,
28-09-2023,27.26,
29-09-2023,27.38,
02-10-2023,27.38,
